[INFO] Scanning for projects...
[INFO] 
[INFO] ----------------------< com.cs122b.team53:songs >-----------------------
[INFO] Building songs 1.0-SNAPSHOT
[INFO] --------------------------------[ war ]---------------------------------
[INFO] 
[INFO] --- exec-maven-plugin:1.6.0:java (default-cli) @ songs ---
--------------------------------------------
-------------------Parsing------------------
--------------------------------------------

[Duplicate] -TrackMeta- id: 0TrPqhAMoaKUFLR7iYDokf duration: 181436 ...
[Duplicate] -TrackMeta- id: 463PQggkmk5tTw8ug0ahOX duration: 188187 ...
[Duplicate] -TrackMeta- id: 4RVtBlHFKj51Ipvpfv5ER4 duration: 174062 ...
[Duplicate] -TrackMeta- id: 2kJwzbxV2ppxnQoYw4GLBZ duration: 208687 ...
[Duplicate] -TrackMeta- id: 3jjujdWJ72nww5eGnfs2E7 duration: 207133 ...
[Duplicate] -TrackMeta- id: 3yOlyBJuViE2YSGn3nVE1K duration: 170746 ...
[Duplicate] -TrackMeta- id: 6WrI0LAC5M1Rw2MnX2ZvEg duration: 183290 ...
[Duplicate] -TrackMeta- id: 3Dv1eDb0MEgF93GpLXlucZ duration: 237893 ...
[Duplicate] -TrackMeta- id: 3npzogdOEiVsieXmmhBepL duration: 197293 ...
[Duplicate] -TrackMeta- id: 0bMbDctzMmTyK2j74j3nF3 duration: 179053 ...
[Duplicate] -TrackMeta- id: 195DDl4riXguLriXMSU0Gg duration: 216938 ...
[Duplicate] -TrackMeta- id: 0rIAC4PXANcKmitJfoqmVm duration: 193837 ...
[Duplicate] -TrackMeta- id: 0ofHAoxe9vBkTCp2UQIavz duration: 257800 ...
[Duplicate] -TrackMeta- id: 6gTrbqZnyljwXdYQTyBkSx duration: 219467 ...
[Duplicate] -TrackMeta- id: 7mimnm2QlSzW3J38FRMETP duration: 266827 ...
[Duplicate] -TrackMeta- id: 0MHXrqn909p0LRTPsNsGEi duration: 165790 ...
[Duplicate] -TrackMeta- id: 55GxhCTq6SY3tFTVh7z1nR duration: 178046 ...
[Duplicate] -TrackMeta- id: 0dBatXn1vVUl0jLgXRClwD duration: 322549 ...
[Duplicate] -TrackMeta- id: 5E3P9e1hvjyIOlFyqNB5eD duration: 144333 ...
[Duplicate] -TrackMeta- id: 5e9TFTbltYBg2xThimr0rU duration: 270213 ...
[Duplicate] -TrackMeta- id: 12q3V8ShACq2PSWINMc2rC duration: 233173 ...
[Duplicate] -TrackMeta- id: 2M2WJ7gBlcKNxdhyfPp9zY duration: 220560 ...
[Duplicate] -TrackMeta- id: 5jQcJ2st6yHWhUBjoDoZPH duration: 247587 ...
[Duplicate] -TrackMeta- id: 0nlZjTPzW6S9JIESuGfImT duration: 315640 ...
[Duplicate] -TrackMeta- id: 7GVUmCP00eSsqc4tzj1sDD duration: 205933 ...
[Duplicate] -TrackMeta- id: 2RlgNHKcydI9sayD2Df2xp duration: 303373 ...
[Duplicate] -TrackMeta- id: 2BY7ALEWdloFHgQZG6VMLA duration: 186827 ...
[Duplicate] -TrackMeta- id: 2Xb6wJYGi0QXwURw5WWvI5 duration: 267773 ...
[Duplicate] -TrackMeta- id: 4nuPrKithHbRJXuA9spwu4 duration: 201093 ...
[Duplicate] -TrackMeta- id: 76TpWFiK5YCgw1hy26DWZp duration: 264413 ...
[Duplicate] -TrackMeta- id: 1H4idkmruFoJBg1DvUv2tY duration: 313027 ...
[Duplicate] -TrackMeta- id: 7shVwhUdVbHpykOfbzvDc1 duration: 263480 ...
[Duplicate] -TrackMeta- id: 1JQ6Xm1JrvHfvAqhl5pwaA duration: 256427 ...
[Duplicate] -TrackMeta- id: 6UkMcAA19lTdjs22jtB7o2 duration: 134800 ...
[Duplicate] -TrackMeta- id: 5FMXrphygZ4z3gVDHGWxgl duration: 236760 ...
[Duplicate] -TrackMeta- id: 3CPeWqqaHR0hmyfsWhMJQs duration: 193347 ...
[Duplicate] -TrackMeta- id: 0qdQUeKVyevrbKhAo0ibxS duration: 281227 ...
[Duplicate] -TrackMeta- id: 7MRyJPksH3G2cXHN8UKYzP duration: 214733 ...
[Duplicate] -TrackMeta- id: 5IKLwqBQG6KU6MP2zP80Nu duration: 216733 ...
[Duplicate] -TrackMeta- id: 6gXrEUzibufX9xYPk3HD5p duration: 286220 ...
[Duplicate] -TrackMeta- id: 683b4ikwa62JevCjwrmfg6 duration: 274040 ...
[Duplicate] -TrackMeta- id: 13Mzsb8VzRSZ5w3pM48cn6 duration: 213000 ...
[Duplicate] -TrackMeta- id: 7szuecWAPwGoV1e5vGu8tl duration: 237520 ...
[Duplicate] -TrackMeta- id: 1tNJrcVe6gwLEiZCtprs1u duration: 177667 ...
[Duplicate] -TrackMeta- id: 3FtYbEfBqAlGO46NUDQSAt duration: 229640 ...
[Duplicate] -TrackMeta- id: 017PF4Q3l4DBUiWoXk4OWT duration: 221820 ...
[Duplicate] -TrackMeta- id: 0VjIjW4GlUZAMYd2vXMi3b duration: 200040 ...
[Duplicate] -TrackMeta- id: 0GO8y8jQk1PkHzS31d699N duration: 218013 ...
[Duplicate] -TrackMeta- id: 0CZ8lquoTX2Dkg7Ak2inwA duration: 225133 ...
[Duplicate] -TrackMeta- id: 7BlBVFwvbWvcwNcUarQmjk duration: 201040 ...
[Duplicate] -TrackMeta- id: 6b2RcmUt1g9N9mQ3CbjX2Y duration: 202205 ...
[Duplicate] -TrackMeta- id: 4RvWPyQ5RL0ao9LPZeSouE duration: 251489 ...
[Duplicate] -TrackMeta- id: 5N4erncE7kuUccm7zEmwzk duration: 238173 ...
[Duplicate] -TrackMeta- id: 7FjZU7XFs7P9jHI9Z0yRhK duration: 190302 ...
[Duplicate] -TrackMeta- id: 7COXchtUOMd6uIT6HvmRaI duration: 162583 ...
[Duplicate] -TrackMeta- id: 2rPE9A1vEgShuZxxzR2tZH duration: 207333 ...
[Duplicate] -TrackMeta- id: 2nGFzvICaeEWjIrBrL2RAx duration: 215360 ...
[Duplicate] -TrackMeta- id: 2Fxmhks0bxGSBdJ92vM42m duration: 194088 ...
[Duplicate] -TrackMeta- id: 5KawlOMHjWeUjQtnuRs22c duration: 229773 ...
[Duplicate] -TrackMeta- id: 47aQT2aV12TyilaoYi1NiD duration: 242200 ...
[Duplicate] -TrackMeta- id: 6ocbgoVGwYJhOv1GgI9NsF duration: 178627 ...
[Duplicate] -TrackMeta- id: 5p1ex0pXv6jSPJ6QbumQpD duration: 152913 ...
[Duplicate] -TrackMeta- id: 1KGi9sZVMeszgZOWivFpxs duration: 214400 ...
[Duplicate] -TrackMeta- id: 0EMmVUYs9ZZRHtlADB88uz duration: 287307 ...
[Duplicate] -TrackMeta- id: 5nNmj1cLH3r4aA4XDJ2bgY duration: 214827 ...
[Duplicate] -TrackMeta- id: 57nNNkgk768QVXq3uHxu5e duration: 215520 ...
[Duplicate] -TrackMeta- id: 4y3OI86AEP6PQoDE6olYhO duration: 181040 ...
[Duplicate] -TrackMeta- id: 7ef4DlsgrMEH11cDZd32M6 duration: 214847 ...
[Duplicate] -TrackMeta- id: 5Z3GHaZ6ec9bsiI5BenrbY duration: 202547 ...
[Duplicate] -TrackMeta- id: 2gSyc23Hua25fqSFpgAh6W duration: 271333 ...
[Duplicate] -TrackMeta- id: 1wjzFQodRWrPcQ0AnYnvQ9 duration: 197437 ...
[Duplicate] -TrackMeta- id: 3B54sVLJ402zGa6Xm4YGNe duration: 233902 ...
[Duplicate] -TrackMeta- id: 4ZOyH6KjomjlqCz3oFqglr duration: 187840 ...
[Duplicate] -TrackMeta- id: 6I9VzXrHxO9rA9A5euc8Ak duration: 198800 ...
[Duplicate] -TrackMeta- id: 2TVxnKdb3tqe1nhQWwwZCO duration: 377093 ...
[Duplicate] -TrackMeta- id: 2jdAk8ATWIL3dwT47XpRfu duration: 242000 ...
